,index,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn,standardized_smiles,scaffolds
384,2215,CHEMBL1651906,2733335,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,toxic_carcinogenic+toxic_gastro+toxic_hema+toxic_hepa+toxic_nephro,0,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,CCC(C)C(C)CC1C(C)CC(CC)C(C)C1C
1793,8961,CHEMBL379845,7151,COC(=O)c1cccnc1,COC(=O)c1cccnc1,Safe,0,COC(=O)c1cccnc1,CCC(C)C1CCCCC1
1993,9856,CHEMBL33,149096,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,toxic_muscoskelet+toxic_neuro,0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CC1CCC(C2C(C)CC3C(C)C(C(C)C)CC4C(C)CCC2C43)CC1
299,1869,CHEMBL635,5865,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,Safe,0,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CCC(C)C1(C)CCC2C3CCC4CC(C)CCC4(C)C3C(C)CC21C
1692,8425,CHEMBL297302,16363,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,Safe,0,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CC1CCC(C(C)CCCC2CCC(C3C(C)CC4CCCCC43)CC2)CC1
365,2131,CHEMBL175,39912,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,Safe,0,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,CC(C)CC1CCC(C(C)C(C)C)CC1
1654,8260,CHEMBL1908919,57396865,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,Safe,0,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,CCCCCCCCCCC1CCC(CCC2CCC(CC)CC2)CC1
1696,8438,CHEMBL917,5790,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,Safe,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,CCC1CC(C2CC(C)C(C)CC2C)CC1C
423,2391,CHEMBL1616046,24341,OCl,OCl,Safe,0,OCl,CC
2140,10566,CHEMBL1183349,6918606,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Safe,0,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,CCCC(C)CCC1CCCCC1C(C)C(C)CC(C)C1CCC(CC(C)(C(C)C2CCC(C3CCC(CC)CC3)C2)C2CC(C)CCC2C)C1
