,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0
136,C(F)(F)(F)c1cc(C(F)(F)F)cc([C@H](O[C@H]2OCCN([C@H]2c3ccc(F)cc3)CC4=NNC(=O)N4)C)c1,CHEMBL1471,0.0,0,0,0,0,0,0
137,C(=O)(C(C(C)C)CC=C)NC(=O)N,CHEMBL509282,0.0,0,0,0,0,0,0
138,c1(c(O)ccc([C@@H](O)CNCCCCc2ccc(O)cc2)c1)O,CHEMBL1201251,0.5,1,0,0,0,0,0
139,O(c1ccc(O)cc1)[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO,CHEMBL232202,0.0,0,0,0,0,0,0
140,C(=O)(N1[C@@H](C(=O)O)C[C@@H](CC1)C)[C@@H](NS(=O)(=O)c2c3c(ccc2)CC(CN3)C)CCCNC(=N)N,CHEMBL1166,0.0,0,0,0,0,0,0
141,O=C1Nc2c(ccc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)c2)CC1,CHEMBL1112,0.0,0,0,0,0,0,0
142,C(=O)(OCN1C(=O)CCc2c1cc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)cc2)CCCCCCCCCCC,CHEMBL2219425,0.0,0,0,0,0,0,0
143,O([C@H]1O[C@H]2[C@@]34OO[C@@](O2)(CC[C@H]3[C@@H](CC[C@H]4[C@H]1C)C)C)C,CHEMBL566534,0.0,0,0,0,0,0,0
144,O([C@H]1O[C@H]2[C@@]34OO[C@@](O2)(CC[C@H]3[C@@H](CC[C@H]4[C@H]1C)C)C)CC,CHEMBL301267,0.0,0,0,0,0,0,0
145,C(=O)(O[C@@H]1O[C@H]2[C@@]34OO[C@@](O2)(CC[C@H]3[C@@H](CC[C@H]4[C@H]1C)C)C)CCC(=O)O,CHEMBL361497,0.0,0,0,0,0,0,0
146,C(=O)(OC)c1c(c(cs1)C)NC(=O)C(NCCC)C,CHEMBL1093,0.0,0,0,0,0,0,0
147,O(c1c(-c2ccc(OC)cc2)sc3c1ccc(O)c3)c4ccc(OCCN5CCCCC5)cc4,CHEMBL226267,0.0,0,0,0,0,0,0
148,O=C1C(=C(O)[C@H](O1)[C@@H](O)CO)O,CHEMBL196,0.0,0,0,0,0,0,0
149,Clc1cc2c(Oc3c(cccc3)C4C2CN(C4)C)cc1,CHEMBL3544974,0.0,0,0,0,0,0,0
150,C(=O)([C@H](CC(=O)N)N)O,CHEMBL58832,0.0,0,0,0,0,0,0
151,C(=O)([C@H](CC(=O)O)N)O,CHEMBL274323,0.0,0,0,0,0,0,0
152,O(c1ccc(cc1)CCN2CCC(Nc3nc4c(n3Cc5ccc(F)cc5)cccc4)CC2)C,CHEMBL296419,3.0,1,1,1,1,1,1
153,C(=O)(OC(C)(C)C)N[C@H](C(=O)N1[C@H](C(=O)N[C@@]2(C(=O)NS(=O)(=O)C3CC3)[C@H](C=C)C2)C[C@@H](Oc4c5c(c(OC)cn4)ccc(Cl)c5)C1)C(C)(C)C,CHEMBL2105735,1.0,1,1,0,0,0,0
154,C(=O)(c1cc(-c2nc(-c3c(F)cccc3)on2)ccc1)O,CHEMBL256997,0.0,0,0,0,0,0,0
155,C(=O)(OC)N[C@H](C(=O)NN(Cc1ccc(-c2ncccc2)cc1)C[C@@H]([C@@H](NC(=O)[C@H](C(C)(C)C)NC(=O)OC)Cc3ccccc3)O)C(C)(C)C,CHEMBL1163,0.0,0,0,0,0,0,0
156,C(=O)(Cc1ccc(OCC(O)CNC(C)C)cc1)N,CHEMBL24,0.0,0,0,0,0,0,0
157,O(c1c(cccc1)C)[C@@H](c2ccccc2)CCNC,CHEMBL641,0.0,0,0,0,0,0,0
158,C(=O)(c1c(c(-c2ccc(F)cc2)n(c1C(C)C)CC[C@@H](O)C[C@@H](O)CC(=O)O)-c3ccccc3)Nc4ccccc4,CHEMBL1487,0.0,0,0,0,0,0,0
159,C(=O)(N1[C@H](C(=O)N[C@H](C(=O)NCC(=O)N)CCCN)CCC1)[C@H]2NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](NC(=O)CCSSC2)Cc3ccc(OCC)cc3)CC(=O)N,CHEMBL382301,0.0,0,0,0,0,0,0
160,O=C1C(=C(C(=O)c2c1cccc2)C3CCC(c4ccc(Cl)cc4)CC3)O,CHEMBL1450,0.0,0,0,0,0,0,0
161,C(=O)(OCCCCCOC(=O)CC[N+]1(C(c2c(cc(OC)c(OC)c2)CC1)Cc3cc(OC)c(OC)cc3)C)CC[N+]4(C(c5c(cc(OC)c(OC)c5)CC4)Cc6cc(OC)c(OC)cc6)C,CHEMBL1200527,0.0,0,0,0,0,0,0
162,C(=O)(O[C@@H]1[C@@H](OC(=O)C)[C@H](S[Au-][P+](CC)(CC)CC)O[C@@H]([C@H]1OC(=O)C)COC(=O)C)C,CHEMBL1366,0.0,0,0,0,0,0,0
