DrugBank ID,CHEMBL_21July2021,smiles,withdrawn
DB13781,CHEMBL75753,C(=O)(N1CCOCC1)NCCNCC(O)COc2ccc(O)cc2,0
DB13766,CHEMBL92870,C(=O)(Nc1c(cccc1C)C)CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2,0
DB13751,CHEMBL441687,C(=O)([C@@]1(C[C@H]2C3[C@]([C@]4([C@H](C(=O)C=3)[C@@]5([C@H](C([C@@H](O[C@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]7O)CC5)(C)C)CC4)C)C)(CC[C@]2(CC1)C)C)C)O,0
DB13711,CHEMBL2104445,O=C1c2c(c(OCC)c(OCC)c(OCC)c2N)C(O1)C3c4c(OC)c5c(OCO5)cc4CCN3C,0
DB13707,CHEMBL2107781,C(=O)([O-])[C@@H]([C@H](C(=O)[O-])O)O,0
DB13682,CHEMBL65794,C(/C(=N\OC)/c1nc(sc1)N)(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(C[n+]4c5c(ccc4)CCC5)CS[C@@H]32,0
DB13680,CHEMBL2106794,C(=O)(N/N=C1/C(=O)c2c(C=C/1)cccc2)N,0
DB13657,CHEMBL162036,C(=O)(Oc1ccc(NC(=O)C)cc1)c2c(OC(=O)C)cccc2,0
DB13628,CHEMBL15841,C(=O)(OCC)c1ccc(O)cc1,0
DB13624,CHEMBL2010507,O(c1c(cccc1)CC(NC)C)C,0
DB13615,CHEMBL2111100,C(=O)(O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCCNC(=O)[C@@H](NC(=O)CC[C@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@H](O[C@@H]1[C@@H](NC(=O)C)C(O[C@@H]([C@H]1O)CO)O)C)C)C)O)CCCCCCCCCCCCCCC,0
DB13583,CHEMBL229128,O(c1c(cccc1)C)CC(O)CO,0
DB13532,CHEMBL1373254,O=S(=O)(c1c(Cl)cc2c(S(=O)(=O)NC(N2)CC3CCCC3)c1)N,0
DB13520,CHEMBL19215,C(=O)(OCc1ccccc1)NC[C@H]2CN([C@H]3[C@@H](c4c5c(n(cc5C3)C)ccc4)C2)C,0
DB13444,CHEMBL2107239,C(=O)(c1c(I)c(C(=O)O)c(I)c(c1I)NC(=O)C)NCCO,0
DB13345,CHEMBL601773,C(=O)(N[C@]1(C(=O)N2[C@](O1)(O)[C@H]3N(C(=O)[C@@H]2Cc4ccccc4)CCC3)C(C)C)[C@H]5CN([C@H]6[C@@H](c7c8c(ccc7)[nH]cc8C6)C5)C,0
DB13337,CHEMBL1614637,C(=O)(C(Oc1ccccc1)C)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C,0
DB13323,CHEMBL279816,C(Cl)(Cl)=CCl,0
DB13306,CHEMBL224325,Clc1c(c2c(c(Cl)c1)ccc(n2)C)O,0
DB13292,CHEMBL152408,C1(c2c(Sc3c1cccc3)cccc2)=C4CCN(CC4)C,0
DB13288,CHEMBL3989506,C(=O)(NC12CC3CC(C1)CC(C2)C3)COCCN(C)C,0
DB13286,CHEMBL2105456,C(N(c1ccccc1)Nc2ccccc2)(=O)C(C(=O)O)CCCC,0
DB13284,CHEMBL1318341,O=S(=O)(c1c(cc2c(S(=O)(=O)CCC2)c1)C)N,0
DB13282,CHEMBL1907001,c1(ccccc1)C[N+](CCCCCCCCCCCC)(C)C,0
DB13274,CHEMBL373081,O([C@H]1O[C@H](CNC)CC[C@H]1N)[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](O)([C@H](NC)[C@H]3O)C)[C@H](N)C[C@@H]2N,0
DB13273,CHEMBL277945,C(=O)(c1c(OC)ccc(S(=O)(=O)CC)c1)NCC2N(CC)CCC2,0
DB13270,CHEMBL560976,O([C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)N)CO)[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N,0
DB13269,CHEMBL3184437,Clc1c(ccc(Cl)c1)CO,0
DB13267,CHEMBL2105322,C(=O)(O)CSC(SCC(=O)O)SCC(=O)O,0
DB13265,CHEMBL127300,C(=O)(OCCCN(CCN(CCCOC(=O)c1cc(OC)c(OC)c(OC)c1)C)C)c2cc(OC)c(OC)c(OC)c2,0
DB13262,CHEMBL20835,C(=O)(OC1C2CCN(C1)CC2)C,0
DB13259,CHEMBL46058,ClCC,0
DB13258,CHEMBL1788393,C(N(Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)CCOCC)(=O)C(Cl)Cl,0
DB13256,CHEMBL304902,Clc1cc2C(=Nc3c(Sc2cc1)cccc3)N4CCN(CC4)C,0
DB13253,CHEMBL2105233,O=C1C(C(=O)NC(=O)N1)(CC=C)CC(O)C,0
DB13248,CHEMBL1524273,C(=O)(c1c(C(=O)O)cccc1)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2,0
DB13247,CHEMBL159776,C(=O)(NCCN(C(C)C)C(C)C)CN1C(=O)CCC1,0
DB13246,CHEMBL107360,c12c(cccc1)CCc3c(N2C4C5CCN(C4)CC5)cccc3,0
DB13245,CHEMBL120563,C(N(C)C)(=S)SSC(N(C)C)=S,0
DB13228,CHEMBL1908307,O=S(C1C(=O)c2c(N(C=1)C)cc(F)cc2)C,0
DB13225,CHEMBL1442422,N(CCN1C(=O)c2c(N(c3c1cccc3)C)cccc2)(C)C,0
DB13222,CHEMBL1788385,Brc1c(c2c(c(c1)C)cccn2)O,0
