,Identifier,smiles,withdrawn
160,DB00290,C(=O)(c1c(c(nc(n1)[C@@H](NC[C@@H](C(=O)N)N)CC(=O)N)N)C)N[C@H](C(=O)N[C@@H]([C@H]([C@@H](C(=O)N[C@H](C(=O)NCCc2nc(-c3nc(C(=O)NCCC[S+](C)C)cs3)cs2)[C@H](O)C)C)O)C)[C@@H](OC4OC(C(O)C(O)C4OC5OC(C(O)C(OC(=O)N)C5O)CO)CO)c6nc[nH]c6,0
161,DB00291,C(=O)(O)CCCc1ccc(N(CCCl)CCCl)cc1,0
162,DB00292,C(=O)(OCC)c1n([C@@H](c2ccccc2)C)cnc1,0
163,DB00293,C(=O)(c1sc(N(Cc2cc3C(=O)N=C(Nc3cc2)C)C)cc1)N[C@H](C(=O)O)CCC(=O)O,0
164,DB00294,C([C@]1([C@@]2([C@H]([C@H]3[C@H](C(=C)C2)[C@@H]4C(=CC(=O)CC4)CC3)CC1)CC)O)#C,0
165,DB00295,c12c3c(O)ccc1C[C@H]4N(CC[C@@]25[C@@H](O3)[C@@H](O)C=C[C@H]54)C,0
166,DB00296,C(=O)(Nc1c(cccc1C)C)[C@H]2N(CCC)CCCC2,0
167,DB00297,C(=O)(Nc1c(cccc1C)C)C2N(CCCC)CCCC2,0
168,DB00298,c1(c(cccc1)C)N2CCN(CCc3nnc4n3CCCC4)CC2,0
169,DB00299,O=C1c2c(n(cn2)CCC(CO)CO)NC(=N1)N,0
170,DB00300,C(=O)(OC(C)C)OCOP(=O)(OCOC(=O)OC(C)C)CO[C@@H](Cn1c2c(c(ncn2)N)nc1)C,0
171,DB00301,C(=O)(c1c(-c2c(F)cccc2Cl)noc1C)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(S[C@@H]43)(C)C,0
172,DB00302,C(=O)(O)C1CCC(CN)CC1,0
173,DB00303,C(=O)(C1=C(S[C@H]2C[C@@H](C(=O)Nc3cc(C(=O)O)ccc3)NC2)[C@@H]([C@H]4N1C(=O)[C@@H]4[C@H](O)C)C)O,0
174,DB00304,C([C@]1([C@@]2([C@H]([C@H]3[C@H](C(=C)C2)[C@@H]4C(=CCCC4)CC3)CC1)CC)O)#C,0
175,DB00305,C(=O)(OC[C@@H]1C2C(=O)C(=C(C(=O)C=2N3[C@]1(OC)[C@@H]4[C@@H](N4)C3)C)N)N,0
176,DB00306,O=C1C(C(=O)NC(=O)N1)(C(CC)C)CC=C,0
177,DB00307,C(=O)(c1ccc(C(c2c(cc3c(C(CCC3(C)C)(C)C)c2)C)=C)cc1)O,0
178,DB00308,N(CCCC(c1ccc(NS(=O)(=O)C)cc1)O)(CCCCCCC)CC,0
179,DB00309,C(=O)(OC)[C@@]1(c2c(OC)cc3c([C@@]45[C@@H]6[C@@](C=CCN6CC4)([C@H]([C@@](C(=O)N)(O)[C@@H]5N3C)O)CC)c2)c7c(c8c(cccc8)[nH]7)CCN9C[C@](O)(CC)C[C@@H](C1)C9,0
180,DB00310,O=S(=O)(c1c(Cl)ccc(C2(c3c(C(=O)N2)cccc3)O)c1)N,0
181,DB00311,O=S(=O)(c1nc2c(s1)cc(OCC)cc2)N,1
182,DB00312,O=C1C(C(=O)NC(=O)N1)(C(CCC)C)CC,0
183,DB00313,C(=O)(C(CCC)CCC)O,0
184,DB00314,C(=O)(NC[C@H]1C(=O)N/C(/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N1)C)N)[C@@H]2NC(=NCC2)N)=C/NC(=O)N)C[C@H](CCCN)N,0
185,DB00315,N(CCc1c2c(ccc(c2)C[C@@H]3NC(=O)OC3)[nH]c1)(C)C,0
186,DB00316,C(=O)(Nc1ccc(O)cc1)C,0
187,DB00317,O(c1c(OC)cc2c(c(ncn2)Nc3cc(Cl)c(F)cc3)c1)CCCN4CCOCC4,0
188,DB00318,O(c1c2c3c(cc1)C[C@H]4N(CC[C@@]35[C@@H](O2)[C@@H](O)C=C[C@H]54)C)C,0
189,DB00319,C(=O)(N1C(=O)C(=O)N(CC)CC1)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C)c4ccccc4,0
190,DB00320,C(=O)(N[C@]1(C(=O)N2[C@](O1)(O)[C@H]3N(C(=O)[C@@H]2Cc4ccccc4)CCC3)C)[C@H]5CN([C@H]6[C@@H](c7c8c(ccc7)[nH]cc8C6)C5)C,0
191,DB00321,N(CCC=C1c2c(cccc2)CCc3c1cccc3)(C)C,0
192,DB00322,O=C1C(F)=CN(C(=O)N1)[C@@H]2O[C@@H]([C@@H](O)C2)CO,0
193,DB00323,C(=O)(c1cc(c(c(O)c1)O)[N+](=O)[O-])c2ccc(cc2)C,1
194,DB00324,C(=O)([C@@]1([C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)[C@H](C3)C)C)[C@@H](O)C2)CC1)C)O)C,0
195,DB00326,C(=O)([O-])C([C@@H]([C@H]([C@@H]([C@H](O)CO)O)O)O)O,0
196,DB00327,O=C1[C@H]2[C@@]34c5c(c(O)ccc5C[C@@H](N(CC3)C)[C@@H]4CC1)O2,0
197,DB00328,C(=O)(c1ccc(Cl)cc1)n2c3c(c(c2C)CC(=O)O)cc(OC)cc3,0
198,DB00330,[C@@H](NCCN[C@H](CO)CC)(CO)CC,0
199,DB00331,C(N(C)C)(=N)NC(=N)N,0
200,DB00332,C(=O)(O[C@@H]1C[C@H]2[N+](C(C)C)([C@@H](C1)CC2)C)C(c3ccccc3)CO,0
201,DB00333,C(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)(=O)CC,0
202,DB00334,c12C(=Nc3c(cccc3)Nc1sc(c2)C)N4CCN(CC4)C,0
203,DB00335,C(=O)(Cc1ccc(OCC(O)CNC(C)C)cc1)N,0
204,DB00336,C(=O)(N/N=C/c1oc([N+](=O)[O-])cc1)N,0
