,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0,standardized_smiles,scaffolds
103,C(=O)(OCC)C1=C(NC(=C(C(=O)OC)C1c2c(Cl)cccc2)C)COCCN,CHEMBL1491,0.0,0,0,0,0,0,0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CCCCCC1CC(C)C(C(C)CC)C(C2CCCCC2C)C1C(C)CCC
104,O=C1C(C(=O)NC(=O)N1)(CCC(C)C)CC,CHEMBL267894,1.0,1,1,0,0,0,0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCC1(CCC(C)C)C(C)CC(C)CC1C
105,N(Cc1c(O)ccc(Nc2c3c(ncc2)cc(Cl)cc3)c1)(CC)CC,CHEMBL682,0.5,1,0,0,0,0,0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,CCC(CC)CC1CC(CC2CCCC3CC(C)CCC32)CCC1C
106,C(c1ccc(cc1)CC(CN2C[C@@H](O[C@@H](C2)C)C)C)(CC)(C)C,CHEMBL489411,0.0,0,0,0,0,0,0,CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1,CCC(C)(C)C1CCC(CC(C)CC2CC(C)CC(C)C2)CC1
107,Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N4CCNCC4,CHEMBL1113,0.0,0,0,0,0,0,0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,CC1CCC2CC3CCCCC3CC(C3CCCCC3)C2C1
108,C(=O)([C@@H](c1ccc(O)cc1)N)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C,CHEMBL1082,0.0,0,0,0,0,0,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1CCC(C(C)C(C)CC2C(C)C3C2CC(C)(C)C3C(C)C)CC1
109,c1(ccccc1)CC(N)C,CHEMBL405,1.0,1,1,0,0,0,0,CC(N)Cc1ccccc1,CC(C)CC1CCCCC1
110,C(=O)(O)[C@H]1[C@H]2O[C@@](O)(C[C@@H]1O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]([C@@H]([C@H](O)[C@H](/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)N)C)C2)C)C)C,CHEMBL267345,0.0,0,0,0,0,0,0,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,CC1CCC(C)C(C)CC(C)CC2(C)CC(C)C(C(C)C)C(CC(CC3CC(C)C(C)C(C)C3C)CCCCCCCCCCCCCCC(C)C(C)C(C)C(C)CC(C)CC(C)C1)C2
111,C(=O)([C@@H](c1ccccc1)N)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C,CHEMBL174,0.0,0,0,0,0,0,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,CC(C)C1C2C(C)C(CC(C)C(C)C3CCCCC3)C2CC1(C)C
112,C(=O)(O[C@@H]1COCC1)N[C@H]([C@H](O)CN(S(=O)(=O)c2ccc(cc2)N)CC(C)C)Cc3ccccc3,CHEMBL116,0.5,1,0,0,0,0,0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CC(C)CC(CC(C)C(CC(C)CC1CCCC1)CC1CCCCC1)C(C)(C)C1CCC(C)CC1
113,O=C1C(=CC(c2ccncc2)=CN1)N,CHEMBL12856,0.0,0,0,0,0,0,0,Nc1cc(-c2ccncc2)c[nH]c1=O,CC1CCC(C2CCCCC2)CC1C
114,O=S(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4)cccc3)cc1)C,CHEMBL43,0.0,0,0,0,0,0,0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,CCC1CC(CC(C)(C)C)CCC1CC1C2CCCCC2CC2CCCCC21
115,N(=O)OCCCCC,CHEMBL3188202,0.0,0,0,0,0,0,0,CCCCCON=O,CCCCCCCC
116,c1(c(ccc(c1)C)CCCCC)O,CHEMBL1512677,0.0,0,0,0,0,0,0,CCCCCc1ccc(C)cc1O,CCCCCC1CCC(C)CC1C
117,C(=O)(OC(CN(C)C)(CC)C)c1ccccc1,CHEMBL1740065,1.0,1,1,0,0,0,0,CCC(C)(CN(C)C)OC(=O)c1ccccc1,CCC(C)(CC(C)C)CC(C)C1CCCCC1
118,O=C1NC2=Nc3c(c(Cl)c(Cl)cc3)CN2C1,CHEMBL760,0.0,0,0,0,0,0,0,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,CC1CC2CC3CCC(C)C(C)C3CC2C1
119,C(C(c1cc(C(C#N)(C)C)cc(c1)Cn2ncnc2)(C)C)#N,CHEMBL1399,0.0,0,0,0,0,0,0,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,CCC(C)(C)C1CC(CC2CCCC2)CC(C(C)(C)CC)C1
120,O(c1ccc(/C=C/C)cc1)C,CHEMBL452630,0.0,0,0,0,0,0,0,C/C=C/c1ccc(OC)cc1,CCC1CCC(CCC)CC1
121,O(c1ccc(C2SSC(=S)C=2)cc1)C,CHEMBL178862,0.0,0,0,0,0,0,0,COc1ccc(-c2cc(=S)ss2)cc1,CCC1CCC(C2CCC(C)C2)CC1
122,C(=O)(N1[C@H](C(=O)N[C@H](C(=O)O)Cc2ccccc2)CCC1)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)N)CCCN=C(N)N)Cc3ccc(O)cc3)Cc4cnc[nH]4,CHEMBL408403,0.0,0,0,0,0,0,0,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CCC(C)C(CC(C)C(CC1CCC(C)CC1)CC(C)C(CC(C)C(CCCCC(C)C)CC(C)C(C)CC(C)C)C(C)C)C(C)CC(CC1CCCC1)C(C)C1CCCC1C(C)CC(CC1CCCCC1)C(C)C
123,C(=O)(c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1)N[C@@H]4C(=O)N[C@H](C(=O)N5[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N6[C@H](C(=O)N[C@H](O)[C@H](O)C4)[C@@H](O)[C@H](C6)C)[C@H](O)C)[C@@H]([C@H](c7ccc(O)cc7)O)O)C[C@@H](O)C5)[C@H](O)C,CHEMBL264241,0.0,0,0,0,0,0,0,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,CCCCCCC1CCC(C2CCC(C3CCC(C(C)CC4CC(C)C(C)CC(C)C5C(C)C(C)CC5C(C)C(C(C)C)CC(C)C(C(C)C(C)C5CCC(C)CC5)CC(C)C5CC(C)CC5C(C)C(C(C)C)CC4C)CC3)CC2)CC1
