,atc_code,chembl_id
573,S01JA51,CHEMBL4297067
574,C07AA16,CHEMBL434200
575,A07AB03,CHEMBL338802
576,P01BE05,CHEMBL252518
577,J01MB04,CHEMBL30116
578,N02BG07,CHEMBL255044
579,G03BB01,CHEMBL258918
580,L02BX03,CHEMBL271227
581,N05BA03,CHEMBL28333
582,J01DD03,CHEMBL3351077
583,N02AX05,CHEMBL314437
584,C09AA16,CHEMBL317094
585,D10AF51,CHEMBL3184512
586,A03FA06,CHEMBL325109
587,M03AA01,CHEMBL3305985
588,C01AA08,CHEMBL1697843
589,N05AB02,CHEMBL1200951
590,C10AX06,CHEMBL1200711
591,N05AB02,CHEMBL1200854
592,V08CX01,CHEMBL1200866
593,D07AB03,CHEMBL1200877
594,D07XB01,CHEMBL1200877
595,D07AC21,CHEMBL1200908
596,D07AB21,CHEMBL1200975
597,S01EE02,CHEMBL1200661
598,D07AB10,CHEMBL1200989
599,S01BA10,CHEMBL1200989
600,H02AA02,CHEMBL1201010
601,S01BA07,CHEMBL1201064
602,D07AB06,CHEMBL1201064
603,D07XB04,CHEMBL1201064
604,S01CB05,CHEMBL1201064
605,C05AA06,CHEMBL1201064
606,D10AA01,CHEMBL1201064
607,L01CB01,CHEMBL1200645
608,N07AA03,CHEMBL1199307
609,R03CC11,CHEMBL1159717
610,R03AC11,CHEMBL1159717
611,D08AJ01,CHEMBL1187417
612,R02AA16,CHEMBL1187417
613,D09AA11,CHEMBL1187417
614,A03BB02,CHEMBL1187724
615,M04AA02,CHEMBL119423
616,L02AA04,CHEMBL1200598
617,C05AA05,CHEMBL1200376
618,R03BA04,CHEMBL1200376
619,S02BA07,CHEMBL1200376
620,D07XC01,CHEMBL1200376
621,S01BA06,CHEMBL1200376
622,A07EA04,CHEMBL1200376
623,D07AC01,CHEMBL1200376
624,H02AB01,CHEMBL1200376
625,S03BA03,CHEMBL1200376
626,S01CB04,CHEMBL1200376
627,R01AD06,CHEMBL1200376
628,H02AB01,CHEMBL1200384
629,S02BA07,CHEMBL1200384
630,A07EA04,CHEMBL1200384
631,R03BA04,CHEMBL1200384
632,C05AA05,CHEMBL1200384
633,R01AD06,CHEMBL1200384
634,S03BA03,CHEMBL1200384
635,D07AC01,CHEMBL1200384
636,D07XC01,CHEMBL1200384
637,S01BA06,CHEMBL1200384
638,S01CB04,CHEMBL1200384
639,R01AD11,CHEMBL1200449
640,R03BA06,CHEMBL1200449
641,D07XB02,CHEMBL1200449
642,S01BA05,CHEMBL1200449
643,D07AB09,CHEMBL1200449
644,A01AC01,CHEMBL1200449
645,C05AA12,CHEMBL1200449
646,H02AB08,CHEMBL1200449
647,D07AC10,CHEMBL1200545
