,chembl_id,atc_code
853,CHEMBL262777,J01XA01
854,CHEMBL262777,S01AA28
858,CHEMBL264241,J02AX06
859,CHEMBL251940,N05AC01
861,CHEMBL250270,C08CA13
863,CHEMBL243712,N05AL05
865,CHEMBL238804,B01AC27
867,CHEMBL2396661,L01EM03
869,CHEMBL24,C07AB03
871,CHEMBL2403108,L01ED02
873,CHEMBL240597,A05AA01
875,CHEMBL25,A01AD05
876,CHEMBL25,B01AC06
877,CHEMBL25,N02BA01
880,CHEMBL25,N02BA51
882,CHEMBL25,N02BA71
883,CHEMBL24441,N07CA01
885,CHEMBL24778,G04CA04
887,CHEMBL24828,L01EX04
889,CHEMBL24924,B01AA12
891,CHEMBL249837,J01AA05
892,CHEMBL249856,C01CE03
894,CHEMBL264374,C10AB02
896,CHEMBL267648,J01MA03
898,CHEMBL285674,N05CD04
900,CHEMBL28218,N05AD06
902,CHEMBL282575,G03CA03
903,CHEMBL284348,N07XX07
905,CHEMBL284906,C01DX16
907,CHEMBL267936,C02BB01
908,CHEMBL288441,L01EA04
910,CHEMBL289469,A04AA02
911,CHEMBL289480,C02AC06
913,CHEMBL290916,N07XX14
915,CHEMBL290960,P01CC01
916,CHEMBL291157,J01MB01
918,CHEMBL282121,A03AA04
920,CHEMBL279816,N01AB05
921,CHEMBL278398,R06AX04
923,CHEMBL278172,C05AD03
924,CHEMBL278172,D02BA01
925,CHEMBL278172,D04AB04
926,CHEMBL278172,N01BA05
927,CHEMBL278172,R02AD01
932,CHEMBL27810,C07AB08
934,CHEMBL278020,N07AA01
935,CHEMBL278020,S01EB06
938,CHEMBL278020,N07AA51
939,CHEMBL277945,N05AL02
941,CHEMBL277535,D01AC10
943,CHEMBL277535,D01AC60
944,CHEMBL277474,N02BB01
945,CHEMBL277474,S02DA03
946,CHEMBL277474,N02BB71
948,CHEMBL277474,N02BB51
950,CHEMBL277062,N05BA08
952,CHEMBL27577,N02BA05
953,CHEMBL27577,N02BA55
954,CHEMBL27577,N02BA75
956,CHEMBL270190,A06AH02
957,CHEMBL27,C07AA05
959,CHEMBL269732,D11AH01
960,CHEMBL269732,L04AD02
961,CHEMBL554,L01EH01
963,CHEMBL556,V03AC01
965,CHEMBL2010507,R03CB02
966,CHEMBL2106439,N05AC04
968,CHEMBL2107011,N05AE01
970,CHEMBL2107062,N03AX13
972,CHEMBL2107430,D01AC16
973,CHEMBL2107430,G01AF18
976,CHEMBL2110674,S01KA51
977,CHEMBL2110805,N05CX05
978,CHEMBL2110805,G04BD01
979,CHEMBL2105618,G03DC01
980,CHEMBL2110816,N06AA15
982,CHEMBL2110900,G04BX14
983,CHEMBL2110948,A03AB11
984,CHEMBL2111030,N05AX07
986,CHEMBL2105774,A07EA01
987,CHEMBL2105774,C05AA04
988,CHEMBL2105774,D07AA03
989,CHEMBL2105774,D07XA02
990,CHEMBL2105774,H02AB06
991,CHEMBL2105774,R01AD02
992,CHEMBL2105774,S01BA04
993,CHEMBL2105774,S01CB02
994,CHEMBL2105774,S02BA03
995,CHEMBL2105774,S03BA02
996,CHEMBL2105612,J01CE03
998,CHEMBL24171,D05BA03
1000,CHEMBL1697844,C10AD03
1002,CHEMBL190279,N01AX05
1004,CHEMBL2105611,D05AX04
1006,CHEMBL1987462,C04AA31
1008,CHEMBL2103772,A07XA04
1010,CHEMBL2103855,A16AX15
1012,CHEMBL2105131,C03BA05
1014,CHEMBL244888,A07AX03
1015,CHEMBL447629,L01AX01
1017,CHEMBL3707290,H01AC07
1018,CHEMBL37390,R03DA03
1020,CHEMBL3833339,V03AB22
1021,CHEMBL3833382,C01BA08
1022,CHEMBL3833389,N02AC01
1023,CHEMBL383675,L01XD05
1024,CHEMBL3545432,L01XG03
1026,CHEMBL413965,M02AA08
1028,CHEMBL416898,P03AB01
1029,CHEMBL416898,P03AB51
1031,CHEMBL4297067,S01JA01
1032,CHEMBL4297067,S01JA51
1033,CHEMBL434200,C07AA16
1035,CHEMBL338802,A07AB03
1037,CHEMBL252518,P01BE05
1038,CHEMBL30116,J01MB04
1040,CHEMBL255044,N02BG07
1042,CHEMBL258918,G03BB01
1044,CHEMBL260538,G03AD02
1045,CHEMBL260538,G03XB02
1046,CHEMBL271227,L02BX03
1048,CHEMBL28333,N05BA03
1050,CHEMBL3351077,J01DD03
1052,CHEMBL314437,N02AX05
1054,CHEMBL317094,C09AA16
1056,CHEMBL3184512,D10AF01
1057,CHEMBL3184512,G01AA10
1058,CHEMBL3184512,J01FF01
1059,CHEMBL3184512,D10AF51
1060,CHEMBL325109,A03FA06
1062,CHEMBL3305985,M03AA01
1063,CHEMBL1697843,C01AA08
1065,CHEMBL1675,A11CA01
1066,CHEMBL1675,D10AD02
1067,CHEMBL1675,R01AX02
1068,CHEMBL1675,S01XA02
1069,CHEMBL1200951,N05AB02
1071,CHEMBL1200711,C10AX06
1072,CHEMBL1200854,N05AB02
1074,CHEMBL1200866,V08CX01
1076,CHEMBL1200877,D07AB03
1077,CHEMBL1200877,D07XB01
1080,CHEMBL1200908,D07AC21
1082,CHEMBL1200975,D07AB21
1084,CHEMBL1200661,S01EE02
1086,CHEMBL1200989,D07AB10
1087,CHEMBL1200989,S01BA10
1090,CHEMBL1201010,H02AA02
1092,CHEMBL1201064,C05AA06
1093,CHEMBL1201064,D07AB06
1094,CHEMBL1201064,D07XB04
1095,CHEMBL1201064,D10AA01
1096,CHEMBL1201064,S01BA07
1097,CHEMBL1201064,S01CB05
1104,CHEMBL1201146,G03AC01
1105,CHEMBL1201146,G03DC02
1106,CHEMBL1200688,D10AF02
1107,CHEMBL1200688,J01FA01
1108,CHEMBL1200688,S01AA17
1109,CHEMBL1200645,L01CB01
1111,CHEMBL1199307,N07AA03
1112,CHEMBL1159717,R03AC11
1113,CHEMBL1159717,R03CC11
1116,CHEMBL1187417,D08AJ01
1117,CHEMBL1187417,R02AA16
1118,CHEMBL1187417,D09AA11
1119,CHEMBL1187724,A03BB02
1120,CHEMBL119423,M04AA02
1122,CHEMBL1200375,V03AB03
1124,CHEMBL1200598,G03CB02
1125,CHEMBL1200598,G03CC05
1126,CHEMBL1200598,L02AA01
1127,CHEMBL1200598,L02AA04
1129,CHEMBL1200376,A07EA04
1130,CHEMBL1200376,C05AA05
1131,CHEMBL1200376,D07AC01
1132,CHEMBL1200376,D07XC01
1133,CHEMBL1200376,H02AB01
1134,CHEMBL1200376,R01AD06
1135,CHEMBL1200376,R03BA04
1136,CHEMBL1200376,S01BA06
1137,CHEMBL1200376,S01CB04
1138,CHEMBL1200376,S02BA07
1139,CHEMBL1200376,S03BA03
1151,CHEMBL1200384,A07EA04
1152,CHEMBL1200384,C05AA05
1153,CHEMBL1200384,D07AC01
1154,CHEMBL1200384,D07XC01
1155,CHEMBL1200384,H02AB01
1156,CHEMBL1200384,R01AD06
1157,CHEMBL1200384,R03BA04
1158,CHEMBL1200384,S01BA06
1159,CHEMBL1200384,S01CB04
1160,CHEMBL1200384,S02BA07
1161,CHEMBL1200384,S03BA03
1173,CHEMBL1200449,A01AC01
1174,CHEMBL1200449,C05AA12
1175,CHEMBL1200449,D07AB09
1176,CHEMBL1200449,D07XB02
1177,CHEMBL1200449,H02AB08
1178,CHEMBL1200449,R01AD11
1179,CHEMBL1200449,R03BA06
1180,CHEMBL1200449,S01BA05
1189,CHEMBL1200545,D07AC10
1191,CHEMBL1200592,H02AA03
1193,CHEMBL1615487,V08AC01
1195,CHEMBL1491306,H03BA03
1196,CHEMBL15023,N05AD02
1198,CHEMBL1504,A01AC01
1199,CHEMBL1504,C05AA12
1200,CHEMBL1504,D07AB09
1201,CHEMBL1504,D07XB02
1202,CHEMBL1504,H02AB08
1203,CHEMBL1504,R01AD11
1204,CHEMBL1504,R03BA06
1205,CHEMBL1504,S01BA05
1206,CHEMBL1565476,M01AX04
1208,CHEMBL1619528,A03AB14
1209,CHEMBL1619785,J01CA15
1211,CHEMBL1623992,A03AA30
1213,CHEMBL1651990,D01AC12
1214,CHEMBL1651990,G01AF12
1217,CHEMBL167150,P02BB01
1219,CHEMBL1449676,G01AF06
1220,CHEMBL1449676,J01XD03
1221,CHEMBL1449676,P01AB03
1225,CHEMBL1371770,N04BC08
1227,CHEMBL1364144,D07AA01
1228,CHEMBL1364144,D10AA02
1229,CHEMBL1364144,H02AB04
1230,CHEMBL1322884,P03AC03
1232,CHEMBL1322884,P03AC53
1233,CHEMBL1292,J04BA01
1234,CHEMBL126224,N06AA13
1236,CHEMBL1257015,B01AC03
1238,CHEMBL1237072,J01FA13
1240,CHEMBL1222250,B05CX01
1241,CHEMBL1222250,V04CA02
1242,CHEMBL1222250,V06DC01
1244,CHEMBL1222250,C05BB56
1247,CHEMBL1201304,V04CX01
1248,CHEMBL435966,P01AB06
1250,CHEMBL1096882,L01BB05
1252,CHEMBL2107112,A07EA05
1253,CHEMBL2107112,R01AD07
1255,CHEMBL2107112,R01AD57
1257,CHEMBL2106261,B01AA08
1259,CHEMBL2106825,G03DB03
1261,CHEMBL2109188,R02AB03
1262,CHEMBL2110774,D04AA34
1263,CHEMBL2110774,R06AA06
1266,CHEMBL2110774,R06AA56
1267,CHEMBL218394,J05AP03
1269,CHEMBL2354773,M01CB04
1270,CHEMBL251634,C05AA08
1271,CHEMBL251634,D07AC05
1272,CHEMBL251634,D07XC05
1273,CHEMBL251634,H02AB03
1278,CHEMBL2104306,B01AC01
1280,CHEMBL2051960,B02BX02
1281,CHEMBL266195,C07AA01
1283,CHEMBL1763,C03AA02
1285,CHEMBL1763,C03AH02
1286,CHEMBL163672,C01DX05
1288,CHEMBL1651905,V08AC02
1290,CHEMBL1738,V03AF02
1292,CHEMBL1743259,N06AB09
1293,CHEMBL1790041,A02BA02
1294,CHEMBL1908364,N04AA08
1296,CHEMBL1885437,R05CB04
1298,CHEMBL1899801,V08DA03
1300,CHEMBL1908315,G02AD03
1302,CHEMBL285802,N05AX11
1304,CHEMBL457299,A06AD15
1311,CHEMBL457299,A06AD65
1312,CHEMBL908,N05AF03
1314,CHEMBL7010,N06BA06
1316,CHEMBL830,D11AX16
1317,CHEMBL830,P01CX03
1320,CHEMBL861,N03AB04
1322,CHEMBL861,N03AB54
1323,CHEMBL867,V08AC06
1325,CHEMBL86882,C01CA01
1327,CHEMBL86882,C01CA51
1328,CHEMBL91238,N06AF06
1330,CHEMBL591,N05CM08
1332,CHEMBL92401,N06AF05
1334,CHEMBL93077,N06BX17
1336,CHEMBL95,N06DA01
1338,CHEMBL970,N05BA13
1340,CHEMBL607710,D01AE07
1341,CHEMBL56367,M01AX17
1342,CHEMBL56367,M02AA26
1345,CHEMBL306700,N06AX09
1347,CHEMBL318153,D06BB09
1349,CHEMBL3186538,J01DB11
1351,CHEMBL329203,R01AA02
1353,CHEMBL3707306,M05BX03
1354,CHEMBL3989849,A03BB04
1355,CHEMBL54661,N05AF01
1357,CHEMBL450,N03AA30
